ID,Nama Kota,Longitude,Latitude,Cuaca,Kecepatan Angin,Temperatur Maksimum,Temperatur Minimum
7529289,Jabajero,115.175018,-8.72767,few clouds,2.57,26.97,26.97
7579621,Jabalan,111.966599,-8.0822,overcast clouds,1.38,24.17,24.17
7034573,Jabon,111.965103,-8.1645,overcast clouds,0.83,24.33,24.33
8073894,Jabranti,108.678001,-7.1198,light rain,1.83,21.75,21.75
1642954,Jabung,105.667519,-5.46314,scattered clouds,0.9,24.99,24.99
7375185,Jabung,112.264603,-8.1343,overcast clouds,0.61,23.24,23.24
8079935,Jabung,112.2295,-6.9963,overcast clouds,1.51,26.24,26.24
7569959,Jadho,121.051102,-8.8428,overcast clouds,1.72,17.86,17.86
8061009,Jadi,111.271698,-6.7772,overcast clouds,3.39,24.54,24.54
8076549,Jadi,111.991798,-6.9603,overcast clouds,1.76,25.23,25.23
8078533,Jadikrajan,112.003601,-6.9292,light rain,2.13,26.27,26.27
8052152,Jaga,108.268997,-7.0451,light rain,2.05,19.54,19.54
8054316,Jagabaya Dua,108.3946,-7.1053,overcast clouds,1.51,21.2,21.2
1642941,Jagakarsa,106.821404,-6.3341,overcast clouds,1.13,25.68,25.68
8054155,Jagara,108.417297,-7.0092,light rain,2.17,19.9,19.9
8052178,Jagasari,108.367599,-7.0065,overcast clouds,2.13,20.51,20.51
1642932,Jager,107.944603,-7.177,light rain,1.52,21.02,21.02
1985537,Jagirsidosermo,112.754532,-7.30678,few clouds,1.54,27.98,27.98
7375440,Jagong,111.253403,-7.0481,overcast clouds,2.3,23.65,23.65
8080538,Jagran,112.353897,-6.9987,overcast clouds,1.68,27.97,27.97
7844386,Jaha,106.410797,-6.5869,light rain,0.62,23.58,23.58
8074711,Jahulu,111.745903,-6.8106,overcast clouds,3.04,26.72,26.72
7035291,Jajar,112.295601,-8.0727,overcast clouds,0.63,22.51,22.51
1642913,Jajawai,108.478104,-7.5682,light rain,1.49,22.37,22.37
7847537,Jajaway,106.757896,-7.2652,overcast clouds,3.1,23.76,23.76
1642911,Jakarta,106.845131,-6.21462,overcast clouds,1.64,25.96,25.96
1642902,Jaken,111.242897,-6.7803,overcast clouds,3.55,24.47,24.47
1642901,Jakenan,111.164299,-6.762,overcast clouds,3.17,24.53,24.53
7780078,Jalanbaru,106.1203,-6.2612,light rain,0.98,24.38,24.38
1642892,Jalang,120.321602,-4.0383,overcast clouds,1.73,24.29,24.29
7338330,Jalasenga,121.805099,-8.5302,overcast clouds,1.4,26.03,26.03
1642890,Jalatrang,108.348297,-7.2373,overcast clouds,0.8,21.89,21.89
7037542,Jalinan,113.819099,-8.2542,overcast clouds,1.08,21.73,21.73
7765694,Jalupang Dua,105.996201,-6.5415,scattered clouds,0.66,24.05,24.05
8025880,Jamanis,108.183601,-7.1894,light rain,1.27,21.84,21.84
8070155,Jamban,108.695099,-7.4204,moderate rain,0.87,24.42,24.42
1965671,Jambangan,112.738213,-8.16225,overcast clouds,1.12,21.42,21.42
7350818,Jambearum,113.923897,-8.0493,overcast clouds,0.65,19.97,19.97
7037147,Jambekumbu,113.067398,-8.1006,overcast clouds,0.13,21.24,21.24
7350321,Jambesari,113.384003,-8.0161,overcast clouds,0.3,21.95,21.95
8068759,Jambeyan,111.580803,-6.729,overcast clouds,2.67,26.55,26.55
1642858,Jambi City,103.616669,-1.6,scattered clouds,1.1,24.58,24.58
6385783,Jambuandap,109.027496,-7.56722,moderate rain,2.31,23.93,23.93
7764766,Jambubol,105.872803,-6.5465,light rain,3.11,25.09,25.09
6387918,Jambuluwuk,108.870201,-7.3135,moderate rain,1.08,23.43,23.43
7035576,Jambuwerkrajan,112.462997,-8.0934,overcast clouds,1.03,21.82,21.82
7780929,Jami,105.882599,-6.3681,few clouds,3.06,24.85,24.85
8075931,Jamong,111.855202,-6.8016,overcast clouds,3.65,27.26,27.26
1642834,Jampang Kulon,106.625603,-7.2579,overcast clouds,4.06,23.35,23.35
1642832,Jampang Tengah,106.801399,-7.0568,overcast clouds,1.32,22.0,22.0
8045282,Jamupu,108.252502,-7.4931,overcast clouds,0.63,21.24,21.24
1642822,Janaka,105.881371,-6.31671,few clouds,3.19,24.3,24.3
7410248,Janapria,116.401497,-8.6952,broken clouds,2.06,24.68,24.68
8080451,Jangkungkusumo,112.284599,-6.9873,overcast clouds,1.58,26.43,26.43
7920901,Jangkurang Kidul,107.908699,-7.2072,light rain,1.43,21.06,21.06
8059662,Janglapa,108.505302,-7.1437,overcast clouds,1.39,22.49,22.49
8070233,Jangraga,108.670799,-7.4872,overcast clouds,0.85,24.45,24.45
8026120,Jantake,108.156303,-7.2475,overcast clouds,1.12,21.58,21.58
8022879,Januti,108.129097,-7.4709,overcast clouds,0.85,22.31,22.31
1642775,Japah,111.290298,-6.9423,overcast clouds,2.63,23.72,23.72
8068238,Japeledok,111.441101,-6.7443,overcast clouds,2.05,25.93,25.93
1642776,Japerejo,111.449501,-6.7495,overcast clouds,1.98,25.93,25.93
1642773,Japura,102.349998,-0.31667,moderate rain,1.11,24.22,24.22
1642765,Jarangan,112.446297,-8.1078,overcast clouds,0.96,22.25,22.25
1642760,Jarurejo,111.885201,-6.9,overcast clouds,2.18,26.4,26.4
7846042,Jasugih Selatan,106.001503,-6.4347,scattered clouds,0.35,23.6,23.6
1642755,Jatake,106.256401,-6.8727,broken clouds,3.49,24.19,24.19
1642754,Jaten,110.897499,-7.57722,overcast clouds,2.02,23.17,23.17
7766873,Jati,106.195801,-6.5153,few clouds,0.42,25.69,25.69
7920567,Jati,107.966904,-7.1959,moderate rain,1.6,20.55,20.55
7921813,Jati,107.911797,-7.1158,light rain,1.41,21.02,21.02
8023786,Jati,108.2033,-7.3037,light rain,0.8,22.32,22.32
7375634,Jatiarum,113.221703,-8.244,overcast clouds,0.24,23.87,23.87
1642726,Jatibarang,108.315277,-6.47472,overcast clouds,4.0,27.14,27.14
7034805,Jatidowo,112.048599,-8.149,light rain,0.84,24.17,24.17
1965628,Jatikerto,112.538101,-8.1369,overcast clouds,1.11,22.47,22.47
7333254,Jatiklampok,111.3964,-7.0907,overcast clouds,2.04,23.74,23.74
1642717,Jatilawang,109.11972,-7.53444,moderate rain,1.67,24.04,24.04
7037707,Jatimulyo,114.257103,-8.5136,broken clouds,0.94,23.53,23.53
8064210,Jatinagara Kulon,108.418999,-7.1719,overcast clouds,1.12,21.79,21.79
1642708,Jatinagara,108.402802,-7.1735,overcast clouds,1.11,21.72,21.72
1642702,Jatipamor,108.329002,-7.0028,overcast clouds,2.18,20.76,20.76
7787580,Jatiraya,106.017609,-6.80823,broken clouds,4.21,25.44,25.44
8073168,Jatirego,111.520401,-6.8401,overcast clouds,1.61,23.47,23.47
1642694,Jatirejo,112.418503,-7.5799,overcast clouds,1.25,27.56,27.56
7034598,Jatirejo,111.880096,-8.1822,overcast clouds,0.66,22.63,22.63
7034990,Jatirejo,112.488899,-8.1273,overcast clouds,1.11,22.53,22.53
8071069,Jatirejo,111.471397,-6.9204,overcast clouds,1.88,24.57,24.57
1642693,Jatirogo,111.659203,-6.8858,overcast clouds,1.62,25.86,25.86
1642691,Jatiroto,113.363701,-8.1218,overcast clouds,0.29,23.92,23.92
1642692,Jatiroto,111.116669,-7.88333,overcast clouds,0.42,23.24,23.24
7581842,Jatisari Satu,114.101501,-7.7637,overcast clouds,1.38,24.56,24.56
7406224,Jatisari,113.635201,-8.3183,overcast clouds,1.19,23.72,23.72
7860122,Jatisari,107.015549,-7.41001,overcast clouds,5.3,25.59,25.59
8059683,Jatisari,108.548798,-7.1534,overcast clouds,1.38,21.38,21.38
8068668,Jatisari,111.508499,-6.6333,overcast clouds,3.79,26.94,26.94
8074715,Jatisari,111.739304,-6.8253,overcast clouds,2.74,26.58,26.58
1642684,Jatiwangi,108.262779,-6.73361,overcast clouds,1.74,25.08,25.08
8020939,Jatiwangi,108.227699,-7.661,overcast clouds,2.18,22.75,22.75
8045236,Jatiwangi,108.258003,-7.3785,overcast clouds,0.61,22.23,22.23
1642672,Jawa Barat,107.5,-6.75,overcast clouds,0.77,20.27,20.27
1642668,Jawa Timur,112.509903,-7.7394,overcast clouds,0.83,18.1,18.1
7089118,Jawa,120.6371,-8.562,overcast clouds,1.2,18.36,18.36
7570046,Jawagae,121.236603,-8.7681,overcast clouds,1.48,20.4,20.4
7415125,Jawakisa,121.223801,-8.6604,overcast clouds,1.51,22.12,22.12
7089402,Jawatiwa,121.280899,-8.7073,overcast clouds,1.5,21.64,21.64
7915023,Jayabakti,107.884903,-7.4528,light rain,1.6,20.18,20.18
2082600,Jayapura,140.699997,-2.53333,overcast clouds,2.99,26.66,26.66
8017911,Jayapura,108.032204,-7.352,moderate rain,1.11,21.35,21.35
7920440,Jayaraga Kaler,107.900398,-7.2043,light rain,1.4,21.04,21.04
8045094,Jayasari,108.348801,-7.538,light rain,0.99,20.95,20.95
8045528,Jayawangi,108.273499,-7.4592,overcast clouds,0.6,22.24,22.24
7035378,Jeblog Satu,112.262497,-8.1186,overcast clouds,0.63,23.08,23.08
7376376,Jeding,114.144699,-7.9171,overcast clouds,1.2,19.57,19.57
7081633,Jegu,112.234901,-8.1512,overcast clouds,0.59,23.43,23.43
7335893,Jejelok,116.165657,-8.61206,overcast clouds,1.41,26.21,26.21
8071163,Jejerukrajan,111.449203,-6.9751,overcast clouds,2.12,24.34,24.34
1642628,Jekulo,110.926201,-6.8057,overcast clouds,2.92,24.3,24.3
1642621,Jelat,108.3853,-7.2839,overcast clouds,0.72,23.45,23.45
7581958,Jelateng Timur,116.084999,-8.7548,overcast clouds,1.97,26.43,26.43
1642617,Jelbuk,113.759201,-8.0839,overcast clouds,0.15,22.38,22.38
8060259,Jembangan,111.211098,-6.7113,overcast clouds,3.27,25.14,25.14
8071119,Jembangan,111.380203,-6.954,overcast clouds,2.29,24.08,24.08
7920283,Jembatandua,107.9879,-7.1361,moderate rain,1.61,20.98,20.98
7410342,Jembe Timur,116.411301,-8.715,broken clouds,2.06,25.19,25.19
1642588,Jember,113.703171,-8.16604,overcast clouds,0.32,23.18,23.18
8060321,Jemblem,111.239502,-6.7497,overcast clouds,3.68,24.61,24.61
6742891,Jembul Kulon,110.998299,-6.5469,overcast clouds,3.84,25.41,25.41
7545578,Jempongwareng,116.094498,-8.5646,broken clouds,2.23,26.53,26.53
8076245,Jenang Selatan,108.759903,-7.3002,moderate rain,0.98,24.25,24.25
1642566,Jenggawah,113.647903,-8.2661,overcast clouds,0.76,23.17,23.17
7034711,Jengglungharjo,111.895599,-8.241,overcast clouds,0.57,23.43,23.43
7405983,Jenggolo Barat,112.5448,-8.1711,overcast clouds,1.1,22.57,22.57
7414497,Jeong,120.230202,-8.5852,overcast clouds,1.41,20.69,20.69
7333200,Jepang Satu,111.421501,-7.0142,overcast clouds,2.22,24.08,24.08
7375399,Jepang,111.257202,-7.024,overcast clouds,2.4,23.55,23.55
1642549,Jepara,105.704407,-5.16948,few clouds,1.37,25.01,25.01
8056421,Jepat Kidul,111.051903,-6.5574,overcast clouds,3.97,26.09,26.09
1642541,Jepon,111.4795,-6.9726,overcast clouds,2.04,24.4,24.4
8071176,Jeponkrajan,111.478996,-6.979,overcast clouds,2.07,24.37,24.37
7579626,Jepun,111.910797,-8.0755,overcast clouds,1.25,24.15,24.15
8060303,Jepuro,111.1446,-6.728,overcast clouds,3.02,24.85,24.85
5597034,Jerome,-114.518646,42.724072,clear sky,4.12,7.46,2.71
1965673,Jeru,112.675499,-8.16151,overcast clouds,1.09,21.88,21.88
8068215,Jeruk,111.440598,-6.7353,overcast clouds,2.12,26.0,26.0
8074012,Jeruk,111.507004,-6.9386,overcast clouds,1.8,24.57,24.57
1642514,Jeruklegi,109.019173,-7.62444,moderate rain,3.15,24.52,24.52
8058305,Jetak Kulon,111.091003,-6.6739,overcast clouds,3.0,25.24,25.24
7375398,Jetak,111.263802,-7.032,overcast clouds,2.36,23.63,23.63
8058306,Jetak,111.098198,-6.6725,overcast clouds,3.03,25.29,25.29
8076519,Jetak,111.906998,-6.9562,overcast clouds,1.64,25.4,25.4
7035967,Jetis,111.517899,-7.2144,overcast clouds,1.83,24.68,24.68
7036678,Jetis,112.419899,-7.1204,overcast clouds,1.84,27.96,27.96
8071186,Jetis,111.410202,-6.9764,overcast clouds,2.23,24.2,24.2
8075153,Jetis,111.626297,-6.9122,overcast clouds,1.5,25.54,25.54
8140983,Jetis,112.432297,-6.9776,overcast clouds,2.41,27.95,27.95
8190952,Jetis,113.564796,-8.201,overcast clouds,0.92,23.5,23.5
1642467,Jimbaran,115.160057,-8.79093,few clouds,2.57,26.59,26.59
8074068,Jinanten,111.572998,-6.8756,overcast clouds,1.55,25.18,25.18
7081676,Jinglong,112.230759,-8.16576,overcast clouds,0.58,23.52,23.52
1642456,Jiput,105.901398,-6.3442,scattered clouds,2.69,24.4,24.4
7380122,Jitapanda,121.956902,-8.7765,overcast clouds,0.94,23.15,23.15
8074026,Jiworejo,111.507599,-6.9815,overcast clouds,2.01,24.35,24.35
8074097,Jlodro,111.5839,-6.9274,overcast clouds,1.57,24.92,24.92
1642437,Jogonalan,110.53611,-7.70361,overcast clouds,2.87,22.92,22.92
8073255,Joho,111.586098,-6.8664,overcast clouds,1.58,25.41,25.41
8068674,Johogunung,111.502502,-6.7175,overcast clouds,2.31,25.27,25.27
1642420,Jojogan,111.788101,-6.9709,overcast clouds,1.48,26.03,26.03
8068130,Jolotundo,111.446503,-6.7039,overcast clouds,2.47,26.28,26.28
1642414,Jombang,112.23307,-7.54595,overcast clouds,1.82,27.73,27.73
7350563,Jombang,113.302597,-8.2329,overcast clouds,0.1,23.85,23.85
7333215,Jomblang,111.440002,-7.0184,overcast clouds,2.19,24.08,24.08
8075125,Jombok,111.645798,-6.8823,overcast clouds,1.61,25.81,25.81
8052335,Jongorsari,108.279602,-7.1008,overcast clouds,1.65,19.42,19.42
8058326,Jontro,111.070801,-6.692,overcast clouds,2.83,24.99,24.99
7377900,Jorok Dalam,117.1353,-8.4112,broken clouds,1.14,25.56,25.56
7086717,Jorong Lauk,116.575104,-8.5666,overcast clouds,1.09,25.53,25.53
7335362,Jorowaru Daya,116.4814,-8.7872,overcast clouds,0.67,26.32,26.32
7036579,Jrebeng,112.466202,-7.0051,overcast clouds,2.31,27.97,27.97
7083205,Jubung,113.637398,-8.1968,overcast clouds,0.54,23.34,23.34
8052293,Jugantang,108.330101,-7.1004,overcast clouds,1.57,19.16,19.16
